batch,go_file,c_entry,status
batch_001.c,batch_001.go,do_External,translated
batch_002.c,batch_002.go,do_Externalgr,translated
batch_003.c,batch_003.go,do_activeBndFun,translated
batch_004.c,batch_004.go,do_addCondHands,translated
batch_005.c,batch_005.go,do_addGlobHands,translated
batch_006.c,batch_006.go,do_addRestart,translated
batch_007.c,batch_007.go,do_addTryHandlers,translated
batch_008.c,batch_008.go,do_as_environment,translated
batch_009.c,batch_009.go,do_asfunction,translated
batch_010.c,batch_010.go,do_attach,translated
batch_011.c,batch_011.go,do_bcclose,translated
batch_012.c,batch_012.go,do_bcprofcounts,translated
batch_013.c,batch_013.go,do_bcprofstart,translated
batch_014.c,batch_014.go,do_bcprofstop,translated
batch_015.c,batch_015.go,do_bindingType,translated
batch_016.c,batch_016.go,do_bndIsActive,translated
batch_017.c,batch_017.go,do_bndIsLocked,translated
batch_018.c,batch_018.go,do_bodyCode,translated
batch_019.c,batch_019.go,do_builtins,translated
batch_020.c,batch_020.go,do_curlDownload,translated
batch_021.c,batch_021.go,do_curlGetHeaders,translated
batch_022.c,batch_022.go,do_curlVersion,translated
batch_023.c,batch_023.go,do_debug,translated
batch_024.c,batch_024.go,do_declare,translated
batch_025.c,batch_025.go,do_delayed,translated
batch_026.c,batch_026.go,do_delayedBindingEnv,translated
batch_027.c,batch_027.go,do_delayedBindingExpr,translated
batch_028.c,batch_028.go,do_detach,translated
batch_029.c,batch_029.go,do_disassemble,translated
batch_030.c,batch_030.go,do_docall,translated
batch_031.c,batch_031.go,do_dotCode,translated
batch_032.c,batch_032.go,do_dotDelayedEnv,translated
batch_033.c,batch_033.go,do_dotDelayedExpr,translated
batch_034.c,batch_034.go,do_dotForcedExpr,translated
batch_035.c,batch_035.go,do_dotType,translated
batch_036.c,batch_036.go,do_dotcall,translated
batch_037.c,batch_037.go,do_dotcallgr,translated
batch_038.c,batch_038.go,do_dump,translated
batch_039.c,batch_039.go,do_dynload,translated
batch_040.c,batch_040.go,do_dynunload,translated
batch_041.c,batch_041.go,do_eapply,translated
