batch,c_entry,primitive,offset,source_file
"batch_001.c","do_External",".External","0","src/main/dotcode.c"
"batch_001.c","do_External",".External2","1","src/main/dotcode.c"
"batch_002.c","do_Externalgr",".External.graphics","0","src/main/dotcode.c"
"batch_003.c","do_activeBndFun","activeBindingFunction","0","src/main/envir.c"
"batch_004.c","do_addCondHands",".addCondHands","0","src/main/errors.c"
"batch_005.c","do_addGlobHands",".addGlobHands","0","src/main/errors.c"
"batch_006.c","do_addRestart",".addRestart","0","src/main/errors.c"
"batch_007.c","do_addTryHandlers",".addTryHandlers","0","src/main/errors.c"
"batch_008.c","do_as_environment","as.environment","0","src/main/envir.c"
"batch_009.c","do_asfunction","as.function.default","0","src/main/coerce.c"
"batch_010.c","do_attach","attach","0","src/main/envir.c"
"batch_011.c","do_bcclose","bcClose","0","src/main/eval.c"
"batch_012.c","do_bcprofcounts","bcprofcounts","0","src/main/eval.c"
"batch_013.c","do_bcprofstart","bcprofstart","0","src/main/eval.c"
"batch_014.c","do_bcprofstop","bcprofstop","0","src/main/eval.c"
"batch_015.c","do_bindingType","getBindingType","0","src/main/envir.c"
"batch_016.c","do_bndIsActive","bindingIsActive","0","src/main/envir.c"
"batch_017.c","do_bndIsLocked","bindingIsLocked","0","src/main/envir.c"
"batch_018.c","do_bodyCode","bodyCode","0","src/main/builtin.c"
"batch_019.c","do_builtins","builtins","0","src/main/envir.c"
"batch_020.c","do_curlDownload","curlDownload","0","src/main/internet.c"
"batch_021.c","do_curlGetHeaders","curlGetHeaders","0","src/main/internet.c"
"batch_022.c","do_curlVersion","curlVersion","0","src/main/internet.c"
"batch_023.c","do_debug","debug","0","src/main/debug.c"
"batch_023.c","do_debug","debugonce","3","src/main/debug.c"
"batch_023.c","do_debug","isdebugged","2","src/main/debug.c"
"batch_023.c","do_debug","undebug","1","src/main/debug.c"
"batch_024.c","do_declare","declare","0","src/main/eval.c"
"batch_025.c","do_delayed","delayedAssign","0","src/main/builtin.c"
