primitive,c_entry,offset,source_file,cir_body_found,cir_tokens
".C","do_dotCode","0","src/main/dotcode.c",true,15536
".Call","do_dotcall","0","src/main/dotcode.c",true,482
".Call.graphics","do_dotcallgr","0","src/main/dotcode.c",true,133
".External","do_External","0","src/main/dotcode.c",true,225
".External.graphics","do_Externalgr","0","src/main/dotcode.c",true,133
".External2","do_External","1","src/main/dotcode.c",true,225
".Fortran","do_dotCode","1","src/main/dotcode.c",true,15536
".Primitive","do_primitive","0","",false,0
".addCondHands","do_addCondHands","0","src/main/errors.c",true,292
".addGlobHands","do_addGlobHands","0","src/main/errors.c",true,100
".addRestart","do_addRestart","0","src/main/errors.c",true,30
".addTryHandlers","do_addTryHandlers","0","src/main/errors.c",true,47
".invokeRestart","do_invokeRestart","0","src/main/errors.c",true,28
".signalCondition","do_signalCondition","0","src/main/errors.c",true,211
"C_tryCatchHelper","do_tryCatchHelper","0","src/main/errors.c",true,159
"Exec","do_tailcall","0","src/main/eval.c",true,413
"La_qr_cmplx","do_lapack","0","src/main/lapack.c",true,53
"La_rg","do_lapack","3","src/main/lapack.c",true,53
"La_rg_cmplx","do_lapack","41","src/main/lapack.c",true,53
"La_rs","do_lapack","1","src/main/lapack.c",true,53
"La_rs_cmplx","do_lapack","2","src/main/lapack.c",true,53
"La_solve_cmplx","do_lapack","11","src/main/lapack.c",true,53
"La_svd","do_lapack","400","src/main/lapack.c",true,53
"La_svd_cmplx","do_lapack","401","src/main/lapack.c",true,53
"La_zgecon","do_lapack","9","src/main/lapack.c",true,53
"La_ztrcon","do_lapack","10","src/main/lapack.c",true,53
"La_ztrcon3","do_lapack","13","src/main/lapack.c",true,53
"Recall","do_recall","0","src/main/eval.c",true,224
"Tailcall","do_tailcall","1","src/main/eval.c",true,413
"activeBindingFunction","do_activeBndFun","0","src/main/envir.c",true,34
"as.environment","do_as_environment","0","src/main/envir.c",true,226
"as.function.default","do_asfunction","0","src/main/coerce.c",true,287
"attach","do_attach","0","src/main/envir.c",true,587
"bcClose","do_bcclose","0","src/main/eval.c",true,106
"bcprofcounts","do_bcprofcounts","0","src/main/eval.c",true,51
"bcprofstart","do_bcprofstart","0","src/main/eval.c",true,177
"bcprofstop","do_bcprofstop","0","src/main/eval.c",true,80
"bindingIsActive","do_bndIsActive","0","src/main/envir.c",true,37
"bindingIsLocked","do_bndIsLocked","0","src/main/envir.c",true,37
"bodyCode","do_bodyCode","0","src/main/builtin.c",true,52
"browser","do_browser","0","src/main/eval.c",false,0
"browserCondition","do_sysbrowser","2","src/main/context.c",true,329
"browserSetDebug","do_sysbrowser","3","src/main/context.c",true,329
"browserText","do_sysbrowser","1","src/main/context.c",true,329
"builtins","do_builtins","0","src/main/envir.c",true,87
"bzfile","do_gzfile","1","src/main/connections.c",true,774
"curlDownload","do_curlDownload","0","src/main/internet.c",true,53
"curlGetHeaders","do_curlGetHeaders","0","src/main/internet.c",true,53
"curlVersion","do_curlVersion","0","src/main/internet.c",true,53
"debug","do_debug","0","src/main/debug.c",true,200
"debugonce","do_debug","3","src/main/debug.c",true,200
"declare","do_declare","0","src/main/eval.c",true,3
"delayedAssign","do_delayed","0","src/main/builtin.c",true,202
"delayedBindingEnvironment","do_delayedBindingEnv","0","src/main/envir.c",true,31
"delayedBindingExpression","do_delayedBindingExpr","0","src/main/envir.c",true,31
"deparseRd","do_deparseRd","0","",false,0
"detach","do_detach","0","src/main/envir.c",true,244
"disassemble","do_disassemble","0","src/main/eval.c",true,39
"do.call","do_docall","0","src/main/coerce.c",true,372
"dotDelayedEnvironment","do_dotDelayedEnv","0","src/main/envir.c",true,45
"dotDelayedExpression","do_dotDelayedExpr","0","src/main/envir.c",true,45
"dotForcedExpression","do_dotForcedExpr","0","src/main/envir.c",true,45
"dump","do_dump","0","src/main/deparse.c",true,881
"dyn.load","do_dynload","0","src/main/Rdynload.c",true,140
