primitive,c_entry,offset,arity,kernel,effect_policy,pure_go_contract,verification_vector,completion_action
if,do_if,0,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
while,do_while,0,2,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
for,do_for,0,3,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
repeat,do_repeat,0,1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
break,do_break,CTXT_BREAK,0,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
next,do_break,CTXT_NEXT,0,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
return,do_return,0,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
function,do_function,0,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
<-,do_set,1,-1,replacement,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
=,do_set,3,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
<<-,do_set,2,-1,replacement,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
{,do_begin,0,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
(,do_paren,0,1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
.subset,do_subset_dflt,1,-1,subset,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
.subset2,do_subset2_dflt,2,-1,subset,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
[,do_subset,1,-1,subset,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
[[,do_subset2,2,-1,subset,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
$,do_subset3,3,2,subset,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
@,do_AT,0,2,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
[<-,do_subassign,0,3,replacement,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
[[<-,do_subassign2,1,3,replacement,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
$<-,do_subassign3,1,3,replacement,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
switch,do_switch,0,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
browser,do_browser,0,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
.primTrace,do_trace,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
.primUntrace,do_trace,1,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
.Internal,do_internal,0,1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
.Primitive,do_primitive,0,1,runtime,pure,defined-pure-go-error,gnu-r-subsystem,preserve explicit boundary; implement only with an independent parser
call,do_call,0,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
quote,do_quote,0,1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
substitute,do_substitute,0,-1,character,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
missing,do_missing,1,1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
nargs,do_nargs,1,0,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
on.exit,do_onexit,0,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
forceAndCall,do_forceAndCall,0,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
declare,do_declare,0,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
stop,do_stop,0,2,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
warning,do_warning,0,4,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
gettext,do_gettext,0,3,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
ngettext,do_ngettext,0,4,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
bindtextdomain,do_bindtextdomain,0,2,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
.addCondHands,do_addCondHands,0,5,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
.addGlobHands,do_addGlobHands,0,5,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
.resetCondHands,do_resetCondHands,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
.signalCondition,do_signalCondition,0,3,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
.dfltStop,do_dfltStop,0,2,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
.dfltWarn,do_dfltWarn,0,2,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
.addRestart,do_addRestart,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
.getRestart,do_getRestart,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
.invokeRestart,do_invokeRestart,0,2,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
.addTryHandlers,do_addTryHandlers,0,0,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
geterrmessage,do_geterrmessage,0,0,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
seterrmessage,do_seterrmessage,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
printDeferredWarnings,do_printDeferredWarnings,0,0,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
interruptsSuspended,do_interruptsSuspended,0,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
as.function.default,do_asfunction,0,2,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
debug,do_debug,0,3,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
undebug,do_debug,1,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
isdebugged,do_debug,2,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
debugonce,do_debug,3,3,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
Recall,do_recall,0,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
delayedAssign,do_delayed,0,4,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
makeLazy,do_makelazy,0,5,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
identical,do_identical,0,8,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
C_tryCatchHelper,do_tryCatchHelper,0,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
getNamespaceValue,do_getNSValue,0,3,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
+,do_arith,PLUSOP,-1,arithmetic,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
-,do_arith,MINUSOP,-1,arithmetic,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
*,do_arith,TIMESOP,2,arithmetic,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
/,do_arith,DIVOP,2,arithmetic,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
^,do_arith,POWOP,2,arithmetic,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
%%,do_arith,MODOP,2,arithmetic,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
%/%,do_arith,IDIVOP,2,arithmetic,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
%*%,do_matprod,0,2,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
==,do_relop,EQOP,2,relational,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
!=,do_relop,NEOP,2,relational,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
<,do_relop,LTOP,2,relational,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
<=,do_relop,LEOP,2,relational,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
>=,do_relop,GEOP,2,relational,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
>,do_relop,GTOP,2,relational,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
&,do_logic,1,2,logical,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
|,do_logic,2,2,logical,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
!,do_logic,3,1,logical,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
&&,do_logic2,1,2,logical-short-circuit,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
||,do_logic2,2,2,logical-short-circuit,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
:,do_colon,0,2,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
~,do_tilde,0,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
::,do_colon2,0,2,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
:::,do_colon3,0,2,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
all,do_logic3,1,-1,logical-reduction,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
any,do_logic3,2,-1,logical-reduction,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
...elt,do_dotsElt,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
...length,do_dotsLength,0,0,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
...names,do_dotsNames,0,0,attribute,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
length,do_length,0,1,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
length<-,do_lengthgets,0,2,replacement,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
oldClass,do_class,0,1,attribute,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
oldClass<-,do_classgets,0,2,replacement,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
class,R_do_data_class,0,1,attribute,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
.cache_class,R_do_data_class,1,2,attribute,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
.class2,R_do_data_class,2,1,attribute,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
class<-,R_do_set_class,0,2,replacement,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
unclass,do_unclass,0,1,attribute,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
names,do_names,0,1,attribute,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
names<-,do_namesgets,0,2,replacement,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
dimnames,do_dimnames,0,1,attribute,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
dimnames<-,do_dimnamesgets,0,2,replacement,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
dim,do_dim,0,1,attribute,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
dim<-,do_dimgets,0,2,replacement,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
attributes,do_attributes,0,1,attribute,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
attributes<-,do_attributesgets,0,2,replacement,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
attr,do_attr,0,-1,attribute,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
attr<-,do_attrgets,0,3,replacement,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
@<-,do_attrgets,1,3,replacement,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
levels<-,do_levelsgets,0,2,replacement,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
vector,do_makevector,0,2,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
complex,do_complex,0,3,numeric-complex,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
matrix,do_matrix,0,7,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
array,do_array,0,3,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
diag,do_diag,0,3,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
backsolve,do_backsolve,0,5,matrix,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
max.col,do_maxcol,0,2,matrix,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
row,do_rowscols,1,1,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
col,do_rowscols,2,1,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
unlist,do_unlist,0,3,combine,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
cbind,do_bind,1,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
rbind,do_bind,2,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
drop,do_drop,0,1,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
all.names,do_allnames,0,4,attribute,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
comment,do_comment,0,1,attribute,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
comment<-,do_commentgets,0,2,replacement,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
get,do_get,1,4,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
get0,do_get,2,5,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
mget,do_mget,1,5,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
exists,do_get,0,4,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
