kind,name,header,declaration
function,DECLARE_METHOD_SETTER,src/include/R_ext/Altrep.h,"DECLARE_METHOD_SETTER(altrep, UnserializeEX) DECLARE_METHOD_SETTER(altrep, Unserialize) DECLARE_METHOD_SETTER(altrep, Serialized_state) DECLARE_METHOD_SETTER(altrep, DuplicateEX) DECLARE_METHOD_SETTER(altrep, Duplicate) DECLARE_METHOD_SETTER(altrep, Coerce) DECLARE_METHOD_SETTER(altrep, Inspect) DECLARE_METHOD_SETTER(altrep, Length) DECLARE_METHOD_SETTER(altvec, Dataptr) DECLARE_METHOD_SETTER(altvec, Dataptr_or_null) DECLARE_METHOD_SETTER(altvec, Extract_subset) DECLARE_METHOD_SETTER(altinteger, Elt) DECLARE_METHOD_SETTER(altinteger, Get_region) DECLARE_METHOD_SETTER(altinteger, Is_sorted) DECLARE_METHOD_SETTER(altinteger, No_NA) DECLARE_METHOD_SETTER(altinteger, Sum) DECLARE_METHOD_SETTER(altinteger, Min) DECLARE_METHOD_SETTER(altinteger, Max) DECLARE_METHOD_SETTER(altreal, Elt) DECLARE_METHOD_SETTER(altreal, Get_region) DECLARE_METHOD_SETTER(altreal, Is_sorted) DECLARE_METHOD_SETTER(altreal, No_NA) DECLARE_METHOD_SETTER(altreal, Sum) DECLARE_METHOD_SETTER(altreal, Min) DECLARE_METHOD_SETTER(altreal, Max) DECLARE_METHOD_SETTER(altlogical, Elt) DECLARE_METHOD_SETTER(altlogical, Get_region) DECLARE_METHOD_SETTER(altlogical, Is_sorted) DECLARE_METHOD_SETTER(altlogical, No_NA) DECLARE_METHOD_SETTER(altlogical, Sum) DECLARE_METHOD_SETTER(altraw, Elt) DECLARE_METHOD_SETTER(altraw, Get_region) DECLARE_METHOD_SETTER(altcomplex, Elt) DECLARE_METHOD_SETTER(altcomplex, Get_region) DECLARE_METHOD_SETTER(altstring, Elt) DECLARE_METHOD_SETTER(altstring, Set_elt) DECLARE_METHOD_SETTER(altstring, Is_sorted) DECLARE_METHOD_SETTER(altstring, No_NA) DECLARE_METHOD_SETTER(altlist, Elt) DECLARE_METHOD_SETTER(altlist, Set_elt) void *DATAPTR_RW(SEXP);"
function,R_altrep_inherits,src/include/R_ext/Altrep.h,"Rboolean R_altrep_inherits(SEXP x, R_altrep_class_t);"
function,R_make_altcomplex_class,src/include/R_ext/Altrep.h,"R_altrep_class_t R_make_altcomplex_class(const char *cname, const char *pname, DllInfo *info);"
function,R_make_altinteger_class,src/include/R_ext/Altrep.h,"R_altrep_class_t R_make_altinteger_class(const char *cname, const char *pname, DllInfo *info);"
function,R_make_altlist_class,src/include/R_ext/Altrep.h,"R_altrep_class_t R_make_altlist_class(const char *cname, const char *pname, DllInfo *info);"
function,R_make_altlogical_class,src/include/R_ext/Altrep.h,"R_altrep_class_t R_make_altlogical_class(const char *cname, const char *pname, DllInfo *info);"
function,R_make_altraw_class,src/include/R_ext/Altrep.h,"R_altrep_class_t R_make_altraw_class(const char *cname, const char *pname, DllInfo *info);"
function,R_make_altreal_class,src/include/R_ext/Altrep.h,"R_altrep_class_t R_make_altreal_class(const char *cname, const char *pname, DllInfo *info);"
function,R_make_altstring_class,src/include/R_ext/Altrep.h,"R_altrep_class_t R_make_altstring_class(const char *cname, const char *pname, DllInfo *info);"
function,R_new_altrep,src/include/R_ext/Altrep.h,"SEXP R_new_altrep(R_altrep_class_t aclass, SEXP data1, SEXP data2);"
function,F77_NAME,src/include/R_ext/Applic.h,"void F77_NAME(dqrls)(double *x, int *n, int *p, double *y, int *ny, double *tol, double *b, double *rsd, double *qty, int *k, int *jpvt, double *qraux, double *work);"
function,R_pretty,src/include/R_ext/Applic.h,"double R_pretty(double *lo, double *up, int *ndiv, int min_n, double shrink_sml, const double high_u_fact[], int eps_correction, int return_bounds);"
function,Rdqagi,src/include/R_ext/Applic.h,"void Rdqagi(integr_fn f, void *ex, double *bound, int *inf, double *epsabs, double *epsrel, double *result, double *abserr, int *neval, int *ier, int *limit, int *lenw, int *last, int *iwork, double *work);"
function,Rdqags,src/include/R_ext/Applic.h,"void Rdqags(integr_fn f, void *ex, double *a, double *b, double *epsabs, double *epsrel, double *result, double *abserr, int *neval, int *ier, int *limit, int *lenw, int *last, int *iwork, double *work);"
function,cgmin,src/include/R_ext/Applic.h,"void cgmin(int n, double *Bvec, double *X, double *Fmin, optimfn fn, optimgr gr, int *fail, double abstol, double intol, void *ex, int type, int trace, int *fncount, int *grcount, int maxit);"
function,fdhess,src/include/R_ext/Applic.h,"void fdhess(int n, double *x, double fval, fcn_p fun, void *state, double *h, int nfd, double *step, double *f, int ndigit, double *typx);"
function,findInterval,src/include/R_ext/Applic.h,"int findInterval(double *xt, int n, double x, Rboolean rightmost_closed,  Rboolean all_inside, int ilo, int *mflag);"
function,lbfgsb,src/include/R_ext/Applic.h,"void lbfgsb(int n, int m, double *x, double *l, double *u, int *nbd, double *Fmin, optimfn fn, optimgr gr, int *fail, void *ex, double factr, double pgtol, int *fncount, int *grcount, int maxit, char *msg, int trace, int nREPORT);"
function,nmmin,src/include/R_ext/Applic.h,"void nmmin(int n, double *Bvec, double *X, double *Fmin, optimfn fn, int *fail, double abstol, double intol, void *ex, double alpha, double bet, double gamm, int trace, int *fncount, int maxit);"
function,optif9,src/include/R_ext/Applic.h,"void optif9(int nr, int n, double *x, fcn_p fcn, fcn_p d1fcn, d2fcn_p d2fcn, void *state, double *typsiz, double fscale, int method, int iexp, int *msg, int ndigit, int itnlim, int iagflg, int iahflg, double dlt, double gradtl, double stepmx, double steptl, double *xpls, double *fpls, double *gpls, int *itrmcd, double *a, double *wrk, int *itncnt);"
function,samin,src/include/R_ext/Applic.h,"void samin(int n, double *pb, double *yb, optimfn fn, int maxit, int tmax, double ti, int trace, void *ex);"
