numeric_value,c_enum_name,opcode
0,BCMISMATCH_OP,BCMISMATCH
1,RETURN_OP,RETURN
2,GOTO_OP,GOTO
3,BRIFNOT_OP,BRIFNOT
4,POP_OP,POP
5,DUP_OP,DUP
6,PRINTVALUE_OP,PRINTVALUE
7,STARTLOOPCNTXT_OP,STARTLOOPCNTXT
8,ENDLOOPCNTXT_OP,ENDLOOPCNTXT
9,DOLOOPNEXT_OP,DOLOOPNEXT
10,DOLOOPBREAK_OP,DOLOOPBREAK
11,STARTFOR_OP,STARTFOR
12,STEPFOR_OP,STEPFOR
13,ENDFOR_OP,ENDFOR
14,SETLOOPVAL_OP,SETLOOPVAL
15,INVISIBLE_OP,INVISIBLE
16,LDCONST_OP,LDCONST
17,LDNULL_OP,LDNULL
18,LDTRUE_OP,LDTRUE
19,LDFALSE_OP,LDFALSE
20,GETVAR_OP,GETVAR
21,DDVAL_OP,DDVAL
22,SETVAR_OP,SETVAR
23,GETFUN_OP,GETFUN
24,GETGLOBFUN_OP,GETGLOBFUN
25,GETSYMFUN_OP,GETSYMFUN
26,GETBUILTIN_OP,GETBUILTIN
27,GETINTLBUILTIN_OP,GETINTLBUILTIN
28,CHECKFUN_OP,CHECKFUN
29,MAKEPROM_OP,MAKEPROM
30,DOMISSING_OP,DOMISSING
31,SETTAG_OP,SETTAG
32,DODOTS_OP,DODOTS
33,PUSHARG_OP,PUSHARG
34,PUSHCONSTARG_OP,PUSHCONSTARG
35,PUSHNULLARG_OP,PUSHNULLARG
36,PUSHTRUEARG_OP,PUSHTRUEARG
37,PUSHFALSEARG_OP,PUSHFALSEARG
38,CALL_OP,CALL
39,CALLBUILTIN_OP,CALLBUILTIN
40,CALLSPECIAL_OP,CALLSPECIAL
41,MAKECLOSURE_OP,MAKECLOSURE
42,UMINUS_OP,UMINUS
43,UPLUS_OP,UPLUS
44,ADD_OP,ADD
45,SUB_OP,SUB
46,MUL_OP,MUL
47,DIV_OP,DIV
48,EXPT_OP,EXPT
49,SQRT_OP,SQRT
50,EXP_OP,EXP
51,EQ_OP,EQ
52,NE_OP,NE
53,LT_OP,LT
54,LE_OP,LE
55,GE_OP,GE
56,GT_OP,GT
57,AND_OP,AND
58,OR_OP,OR
59,NOT_OP,NOT
60,DOTSERR_OP,DOTSERR
61,STARTASSIGN_OP,STARTASSIGN
62,ENDASSIGN_OP,ENDASSIGN
63,STARTSUBSET_OP,STARTSUBSET
64,DFLTSUBSET_OP,DFLTSUBSET
65,STARTSUBASSIGN_OP,STARTSUBASSIGN
66,DFLTSUBASSIGN_OP,DFLTSUBASSIGN
67,STARTC_OP,STARTC
68,DFLTC_OP,DFLTC
69,STARTSUBSET2_OP,STARTSUBSET2
70,DFLTSUBSET2_OP,DFLTSUBSET2
71,STARTSUBASSIGN2_OP,STARTSUBASSIGN2
72,DFLTSUBASSIGN2_OP,DFLTSUBASSIGN2
73,DOLLAR_OP,DOLLAR
74,DOLLARGETS_OP,DOLLARGETS
75,ISNULL_OP,ISNULL
76,ISLOGICAL_OP,ISLOGICAL
77,ISINTEGER_OP,ISINTEGER
78,ISDOUBLE_OP,ISDOUBLE
79,ISCOMPLEX_OP,ISCOMPLEX
80,ISCHARACTER_OP,ISCHARACTER
81,ISSYMBOL_OP,ISSYMBOL
82,ISOBJECT_OP,ISOBJECT
83,ISNUMERIC_OP,ISNUMERIC
84,VECSUBSET_OP,VECSUBSET
85,MATSUBSET_OP,MATSUBSET
86,VECSUBASSIGN_OP,VECSUBASSIGN
87,MATSUBASSIGN_OP,MATSUBASSIGN
88,AND1ST_OP,AND1ST
89,AND2ND_OP,AND2ND
90,OR1ST_OP,OR1ST
91,OR2ND_OP,OR2ND
92,GETVAR_MISSOK_OP,GETVAR_MISSOK
93,DDVAL_MISSOK_OP,DDVAL_MISSOK
94,VISIBLE_OP,VISIBLE
95,SETVAR2_OP,SETVAR2
96,STARTASSIGN2_OP,STARTASSIGN2
97,ENDASSIGN2_OP,ENDASSIGN2
98,SETTER_CALL_OP,SETTER_CALL
99,GETTER_CALL_OP,GETTER_CALL
100,SWAP_OP,SWAP
101,DUP2ND_OP,DUP2ND
102,SWITCH_OP,SWITCH
103,RETURNJMP_OP,RETURNJMP
104,STARTSUBSET_N_OP,STARTSUBSET_N
105,STARTSUBASSIGN_N_OP,STARTSUBASSIGN_N
106,VECSUBSET2_OP,VECSUBSET2
107,MATSUBSET2_OP,MATSUBSET2
108,VECSUBASSIGN2_OP,VECSUBASSIGN2
109,MATSUBASSIGN2_OP,MATSUBASSIGN2
110,STARTSUBSET2_N_OP,STARTSUBSET2_N
111,STARTSUBASSIGN2_N_OP,STARTSUBASSIGN2_N
112,SUBSET_N_OP,SUBSET_N
113,SUBSET2_N_OP,SUBSET2_N
114,SUBASSIGN_N_OP,SUBASSIGN_N
115,SUBASSIGN2_N_OP,SUBASSIGN2_N
116,LOG_OP,LOG
117,LOGBASE_OP,LOGBASE
118,MATH1_OP,MATH1
119,DOTCALL_OP,DOTCALL
120,COLON_OP,COLON
121,SEQALONG_OP,SEQALONG
122,SEQLEN_OP,SEQLEN
123,BASEGUARD_OP,BASEGUARD
124,INCLNK_OP,INCLNK
125,DECLNK_OP,DECLNK
126,DECLNK_N_OP,DECLNK_N
127,INCLNKSTK_OP,INCLNKSTK
128,DECLNKSTK_OP,DECLNKSTK
