token,kind
END_OF_INPUT,named-token
ERROR,named-token
STR_CONST,named-token
NUM_CONST,named-token
NULL_CONST,named-token
SYMBOL,named-token
FUNCTION,named-token
INCOMPLETE_STRING,named-token
LEFT_ASSIGN,named-token
EQ_ASSIGN,named-token
RIGHT_ASSIGN,named-token
LBB,named-token
FOR,named-token
IN,named-token
IF,named-token
ELSE,named-token
WHILE,named-token
NEXT,named-token
BREAK,named-token
REPEAT,named-token
GT,named-token
GE,named-token
LT,named-token
LE,named-token
EQ,named-token
NE,named-token
AND,named-token
OR,named-token
AND2,named-token
OR2,named-token
NS_GET,named-token
NS_GET_INT,named-token
COMMENT,named-token
LINE_DIRECTIVE,named-token
SYMBOL_FORMALS,named-token
EQ_FORMALS,named-token
EQ_SUB,named-token
SYMBOL_SUB,named-token
SYMBOL_FUNCTION_CALL,named-token
SYMBOL_PACKAGE,named-token
SLOT,named-token
PIPE,named-token
PLACEHOLDER,named-token
PIPEBIND,named-token
?,literal-character
LOW,precedence-symbol
TILDE,precedence-symbol
~,literal-character
UNOT,precedence-symbol
NOT,precedence-symbol
+,literal-character
-,literal-character
*,literal-character
/,literal-character
SPECIAL,precedence-symbol
:,literal-character
UMINUS,precedence-symbol
UPLUS,precedence-symbol
^,literal-character
$,literal-character
@,literal-character
(,literal-character
[,literal-character
