kernel,evaluation_vector,type_vector,shape_vector,attribute_vector,dispatch_vector,effect_vector,backend_vector,executor_opcode
arithmetic,1 0 0,0 1 1 0 0 0,0 1 1 0 0 0 0 0,0 0 0 0 0 1 0 0,0 0 1 0,1 0 0 0 0 0,0 1 0 0 0,OPS_BINARY
attribute,1 0 0,1 0 0 0 0 1,1 0 0 0 0 0 0 0,0 1 0 0 0 0 1 0,0 1 0 1,1 0 0 0 0 0,0 1 0 0 0,ATTRIBUTE
bitwise,1 0 0,0 0 1 0 0 0,0 1 1 0 0 0 0 0,1 0 0 0 0 0 0 0,1 0 0 0,1 0 0 0 0 0,0 1 0 0 0,BITWISE
character,1 0 0,0 0 0 0 1 0,0 1 1 0 0 0 0 0,1 0 0 0 0 0 0 0,0 1 0 1,1 0 0 0 0 0,0 1 0 0 0,CHARACTER
coercion-atomic,1 0 0,0 0 1 0 0 0,0 1 0 0 0 0 0 0,0 0 0 0 0 0 0 0,0 1 0 1,1 0 0 0 0 0,0 1 0 0 0,COERCE
coercion-mode,1 0 0,0 0 1 0 0 0,0 1 0 0 0 0 0 0,0 0 0 0 0 0 0 0,0 1 0 1,1 0 0 0 0 0,0 1 0 0 0,COERCE
combine,1 0 0,0 0 1 0 0 1,0 0 1 0 0 0 0 0,0 1 0 0 0 0 0 0,0 1 0 1,1 0 0 0 0 0,0 1 0 0 0,COMBINE
cumulative,1 0 0,0 1 0 0 0 0,0 1 0 0 1 0 0 0,0 1 0 0 0 1 0 0,0 0 1 0,1 0 0 0 0 0,0 1 0 0 0,VECTOR_SCAN
datetime,1 0 0,0 1 0 0 1 0,0 1 1 0 0 0 0 0,0 1 0 0 0 0 0 0,0 1 0 1,1 0 0 0 1 0,0 1 0 1 0,DATETIME
environment,1 0 0,1 0 0 0 0 1,1 0 0 0 0 0 0 0,0 1 0 1 0 0 0 0,0 1 0 1,0 1 0 0 0 0,1 0 0 0 0,ENVIRONMENT
closure-scope,0 1 1,1 0 0 0 0 1,1 0 0 0 0 0 0 1,0 1 0 1 0 0 1 0,0 1 0 1,0 1 0 0 0 1,1 0 0 0 1,NATIVE_CLOSURE
io,1 0 0,1 0 0 0 0 1,1 0 0 0 0 0 0 0,1 0 0 0 0 0 0 1,1 0 0 0,0 0 1 0 0 0,0 0 0 1 0,IO
iteration,0 1 0,1 0 0 0 0 1,0 0 0 0 0 0 0 1,0 1 0 0 0 0 0 0,0 1 0 1,1 0 0 0 0 0,1 0 0 0 1,MAP
language,0 1 1,1 0 0 0 0 1,1 0 0 0 0 0 0 0,0 1 0 0 0 0 1 0,0 1 0 1,0 1 0 0 0 1,1 0 0 0 1,LANGUAGE
logical,1 0 0,0 0 0 1 0 0,0 1 1 0 0 0 0 0,1 0 0 0 0 1 0 0,0 0 1 0,1 0 0 0 0 0,0 1 0 0 0,OPS_BINARY
logical-reduction,1 0 0,0 0 0 1 0 0,0 0 0 1 0 0 0 0,1 0 0 0 0 1 0 0,0 0 1 0,1 0 0 0 0 0,0 1 0 0 0,VECTOR_REDUCE
logical-short-circuit,0 1 1,0 0 0 1 0 0,1 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0,1 0 0 0,1 0 0 0 0 1,0 1 0 0 0,SHORT_CIRCUIT
matching,1 0 0,0 0 1 0 0 1,0 1 0 0 0 0 0 0,0 1 0 0 0 0 0 0,0 1 0 1,1 0 0 0 0 0,0 1 0 0 0,MATCH
matrix,1 0 0,0 1 1 0 0 1,0 0 0 0 0 1 0 0,0 0 0 0 1 0 0 0,0 1 0 1,1 0 0 0 0 0,0 1 1 0 0,MATRIX
missingness,1 0 0,1 0 0 0 0 1,0 1 0 1 0 0 0 0,0 0 0 0 0 0 1 0,0 1 0 0,1 0 0 0 0 0,0 1 0 0 0,MISSINGNESS
numeric-binary,1 0 0,0 1 0 0 0 0,0 1 1 0 0 0 0 0,0 0 0 0 0 1 0 0,0 0 1 0,1 0 0 0 0 0,0 1 0 0 0,NUMERIC_BINARY
numeric-complex,1 0 0,0 1 0 0 0 0,0 1 1 0 0 0 0 0,0 0 0 0 0 1 0 0,0 0 1 0,1 0 0 0 0 0,0 1 1 0 0,VECTOR_COMPLEX
numeric-predicate,1 0 0,0 1 0 0 0 0,0 1 0 0 0 0 0 0,1 0 0 0 0 0 0 0,1 0 0 0,1 0 0 0 0 0,0 1 0 0 0,NUMERIC_PREDICATE
numeric-ternary,1 0 0,0 1 0 0 0 0,0 1 1 0 0 0 0 0,0 0 0 0 0 1 0 0,0 0 1 0,1 0 0 0 0 0,0 1 1 0 0,VECTOR_TERNARY
numeric-unary,1 0 0,0 1 0 0 0 0,0 1 0 0 0 0 0 0,0 0 0 0 0 1 0 0,0 0 1 0,1 0 0 0 0 0,0 1 0 0 0,VECTOR_UNARY
ordering,1 0 0,0 0 1 0 1 0,0 0 0 0 0 0 0 0,0 1 0 0 0 0 0 0,0 1 0 1,1 0 0 0 0 0,0 1 0 0 0,ORDER
predicate,1 0 0,1 0 0 0 0 1,1 0 0 0 0 0 0 0,0 0 0 0 0 0 1 0,0 1 0 1,1 0 0 0 0 0,0 1 0 0 0,TYPE_PREDICATE
random,1 0 0,0 1 0 0 0 0,0 1 1 0 0 0 0 0,1 0 0 0 0 0 0 0,1 0 0 0,0 0 0 1 0 0,0 1 1 0 0,RANDOM
